,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
0,7,5,3,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
1,7,4,10,2,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
2,7,4,10,6,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0
3,8,6,3,5,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
4,8,6,3,7,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
5,8,6,8,7,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
6,8,6,8,1,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
8,8,6,9,2,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
9,7,5,9,6,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
10,7,5,9,6,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
11,7,5,9,6,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
13,6,5,9,1,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
15,6,5,9,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
17,8,5,10,1,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
18,6,4,3,3,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
19,6,4,4,6,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0
20,6,4,9,2,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
21,5,4,9,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
22,7,4,6,7,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
23,7,4,8,6,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
25,7,4,8,7,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
26,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
27,7,4,9,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
29,6,3,9,7,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
30,6,3,9,5,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
35,6,3,9,2,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
36,6,3,10,2,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
37,7,4,10,5,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
38,7,3,10,6,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
39,4,4,3,2,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
41,4,4,8,6,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
42,4,4,8,2,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
46,5,6,9,1,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
47,6,6,7,1,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
49,4,4,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
50,4,4,9,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0
51,4,3,8,7,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0
52,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
53,4,3,8,4,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0
54,4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
55,4,3,9,2,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
56,4,3,10,7,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0
57,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0
58,2,2,2,5,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
59,2,2,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
60,2,2,3,7,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0
61,2,2,8,4,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0
62,2,2,8,7,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
63,2,2,8,1,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0
64,2,2,8,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
65,2,2,9,5,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0
66,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
67,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0
68,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
69,4,5,3,5,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0
70,4,5,9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0
71,5,4,3,5,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0
72,5,4,8,2,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0
73,5,4,9,5,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
74,9,9,2,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
75,9,9,2,5,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
76,1,3,3,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0
77,1,2,8,5,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
78,1,2,8,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
79,1,2,8,7,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0
80,1,2,8,7,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
81,1,2,8,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
82,1,2,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0
83,1,2,8,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
84,1,2,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0
85,1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
86,1,2,9,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0
87,1,2,9,7,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0
88,6,5,3,6,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
89,6,5,8,6,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
90,8,6,3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0
91,8,6,8,7,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
92,8,6,8,7,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0
93,8,6,8,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
94,4,4,9,7,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0
95,3,4,2,6,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
96,3,4,3,6,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0
97,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
98,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
99,3,4,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0
